GeneName	GFOLD(0.01)	1stRPKM
s21_723510_length_268_cvg_4.8_tip_1	0	0.358672
s21_723760_length_268_cvg_10.8_tip_1	0	0
s21_723762_length_268_cvg_4.9_tip_1	0	0
s21_723800_length_268_cvg_4.5_tip_1	0	0.179336
s21_724059_length_269_cvg_21.6_tip_0	0	0.357338
s21_724073_length_269_cvg_44.4_tip_1	0	2.3227
s21_724083_length_269_cvg_3.0_tip_1	0	0
s21_724307_length_269_cvg_3.1_tip_1	0	0
s21_725109_length_270_cvg_29.0_tip_1	0	0.356015
s21_725233_length_270_cvg_2.0_tip_1	0	0
s21_725461_length_270_cvg_3.0_tip_1	0	0
s21_725626_length_270_cvg_4.7_tip_1	0	0.178007
s21_725778_length_271_cvg_3.5_tip_1	0	0.532052
s21_726138_length_271_cvg_2.0_tip_1	0	0.354701
s21_726354_length_271_cvg_9.9_tip_1	0	0.177351
s21_726570_length_271_cvg_2.8_tip_1	0	0
v61_NODE_110603_length_1263_cov_20.181314	7.39438	0.036328
s21_726775_length_272_cvg_6.3_tip_1	0	0.530095
s21_726877_length_272_cvg_2.0_tip_1	0	0
s21_727261_length_272_cvg_4.4_tip_1	0	0
s21_727702_length_273_cvg_2.3_tip_1	0	0
s21_727940_length_273_cvg_5.1_tip_1	0	0
s21_728068_length_273_cvg_6.1_tip_1	0	0
s21_728228_length_273_cvg_4.1_tip_1	0	0.352103
s21_728334_length_274_cvg_3.1_tip_1	0	0
s21_728606_length_274_cvg_3.5_tip_1	0	0
s21_728724_length_274_cvg_60.9_tip_1	0	0.175409
s21_729415_length_275_cvg_2.4_tip_1	0	0.174771
s21_729435_length_275_cvg_7.7_tip_1	0	0.174771
s21_730318_length_276_cvg_3.3_tip_1	0	0
s21_730574_length_276_cvg_3.2_tip_1	0	0
s21_730633_length_276_cvg_2.9_tip_1	0	0
s21_730953_length_277_cvg_6.5_tip_1	0	0.347018
s21_874375_length_978_cvg_45.1_tip_1	7.28644	3.44002
s21_731721_length_278_cvg_3.6_tip_1	0	0
s21_732129_length_278_cvg_10.5_tip_1	0	0
s21_732373_length_278_cvg_2.9_tip_1	0	0.34577
v81_NODE_72178_length_775_cov_8.310967	7.17005	0.112426
s21_732713_length_279_cvg_7.1_tip_1	0	0
s21_733103_length_279_cvg_11.2_tip_1	0	0.172265
s21_733161_length_279_cvg_2.3_tip_1	0	0
s21_733193_length_280_cvg_43.5_tip_1	-0.809985	5.1495
s21_733251_length_280_cvg_8.7_tip_1	0	0
s21_733555_length_280_cvg_4.6_tip_1	0	0
s21_733827_length_280_cvg_4.2_tip_1	0	0
s21_733833_length_280_cvg_2.0_tip_1	0	0.17165
s21_734062_length_281_cvg_21.1_tip_1	0	0
s21_734804_length_282_cvg_2.5_tip_1	0	0.340865
s21_735028_length_282_cvg_2.0_tip_1	0	0
s21_735172_length_282_cvg_2.0_tip_1	0	0
s21_735402_length_282_cvg_2.0_tip_1	0	0.511298
s21_735888_length_283_cvg_2.5_tip_1	0	0.509491
s21_736544_length_284_cvg_5.4_tip_1	0	0
s21_736732_length_284_cvg_2.0_tip_1	0	0
s21_736844_length_284_cvg_4.8_tip_1	0	0
s21_737050_length_284_cvg_10.1_tip_1	0	0
s21_737430_length_285_cvg_3.0_tip_1	0	0.337277
s21_737590_length_285_cvg_12.2_tip_1	0	0.168639
s21_737646_length_285_cvg_2.0_tip_1	0	0.168639
s21_737904_length_286_cvg_2.8_tip_1	0	0.168049
s21_738479_length_286_cvg_17.8_tip_1	0	0
s21_738817_length_287_cvg_12.5_tip_1	-0.670271	2.67941
s21_738913_length_287_cvg_2.7_tip_1	0	0.167463
s21_739109_length_287_cvg_31.0_tip_1	0	0.334927
s21_739141_length_287_cvg_9.9_tip_1	0	0.167463
s21_739379_length_288_cvg_3.2_tip_1	0	0
s21_739385_length_288_cvg_3.2_tip_1	0	0
s21_739527_length_288_cvg_3.8_tip_1	0	0.333764
s21_739701_length_288_cvg_2.5_tip_1	0	0
s21_739968_length_288_cvg_6.0_tip_1	0	0
s21_740094_length_289_cvg_4.9_tip_1	0	0.166304
s21_740442_length_289_cvg_2.0_tip_1	0	0
s21_740450_length_289_cvg_9.2_tip_1	0	0
s21_740542_length_289_cvg_30.6_tip_1	0	0
s21_740678_length_289_cvg_2.4_tip_1	0	0
s21_740874_length_290_cvg_2.4_tip_1	0	0
s21_740892_length_290_cvg_63.9_tip_1	0	0.497193
s21_740982_length_290_cvg_64.6_tip_1	0	0.994386
s21_741366_length_290_cvg_3.0_tip_1	0	0
s21_741572_length_291_cvg_52.5_tip_1	0	0.660646
s21_741996_length_291_cvg_3.0_tip_1	0	0
s21_742654_length_292_cvg_2.0_tip_1	0	0.164596
s21_743057_length_293_cvg_3.0_tip_1	0	0
s21_743103_length_293_cvg_15.9_tip_1	0	0
s21_743109_length_293_cvg_2.0_tip_1	0	0.164034
s21_743111_length_293_cvg_18.0_tip_1	0	1.14824
s21_743125_length_293_cvg_6.8_tip_1	0	0
s21_743325_length_293_cvg_2.7_tip_1	0	0
s21_743627_length_293_cvg_5.8_tip_1	0	0
s21_743669_length_293_cvg_4.0_tip_1	0	0
s21_743923_length_294_cvg_3.2_tip_1	0	0
s21_744455_length_294_cvg_4.0_tip_1	0	0
s21_744617_length_295_cvg_3.2_tip_1	0	0.325844
s21_744813_length_295_cvg_3.1_tip_1	0	0.162922
s21_744999_length_295_cvg_5.3_tip_1	0	0
s21_746239_length_297_cvg_2.0_tip_1	0	0.161825
s21_746269_length_297_cvg_17.9_tip_1	0	0
s21_746573_length_297_cvg_2.0_tip_1	0	0
s71_191716_length_778_cvg_8.3_tip_1	7.12685	0.0617763
s21_746803_length_298_cvg_14.9_tip_1	0	0.483846
s21_746891_length_298_cvg_4.8_tip_1	0	0
s21_747211_length_298_cvg_5.4_tip_1	0	0.483846
s21_747651_length_299_cvg_11.0_tip_1	0	0.160742
s21_747865_length_299_cvg_3.0_tip_1	0	0
s21_748115_length_300_cvg_3.4_tip_1	0	0
s21_748329_length_300_cvg_2.0_tip_1	0	0
s21_748339_length_300_cvg_10.4_tip_1	0	0.96124
s21_748517_length_300_cvg_2.0_tip_1	0	0.320413
s21_748586_length_300_cvg_2.0_tip_1	0	0
s21_748751_length_300_cvg_2.0_tip_1	0	0
s21_748815_length_301_cvg_2.0_tip_1	0	0.159674
s21_748839_length_301_cvg_2.7_tip_1	0	0.319349
s21_748949_length_301_cvg_2.9_tip_1	0	0.798372
s21_748985_length_301_cvg_4.6_tip_1	0	0
s21_749039_length_301_cvg_2.0_tip_1	0	0.159674
s21_749061_length_301_cvg_9.7_tip_1	0	0.159674
s21_749073_length_301_cvg_2.0_tip_1	0	0.159674
s21_749149_length_301_cvg_3.0_tip_1	0	0.479023
s21_749207_length_301_cvg_2.0_tip_1	0	0.159674
s21_749225_length_301_cvg_5.0_tip_1	0	0.159674
s21_749277_length_301_cvg_2.8_tip_1	0	0.319349
s21_749411_length_301_cvg_2.6_tip_1	0	0
s21_749425_length_301_cvg_2.0_tip_1	0	0
s21_749479_length_301_cvg_2.0_tip_1	0	0
s21_749531_length_302_cvg_4.4_tip_1	0	0.477437
s21_749543_length_302_cvg_2.0_tip_1	0	0.159146
s21_749617_length_302_cvg_2.0_tip_1	0	0.159146
s21_749689_length_302_cvg_60.2_tip_1	-0.567405	2.38719
s21_749699_length_302_cvg_2.0_tip_1	0	0.159146
s21_749705_length_302_cvg_3.3_tip_1	0	0.477437
s21_749717_length_302_cvg_2.8_tip_1	0	0.159146
s21_749805_length_302_cvg_2.0_tip_1	0	0.159146
s21_749839_length_302_cvg_2.6_tip_1	0	0.159146
s21_749859_length_302_cvg_2.9_tip_1	0	0.477437
s21_749969_length_302_cvg_2.0_tip_1	0	0.159146
s21_750013_length_302_cvg_98.7_tip_0	0	16.5511
s21_750051_length_302_cvg_2.0_tip_1	0	0.159146
s21_750099_length_302_cvg_2.1_tip_1	0	0.318291
s21_750216_length_303_cvg_2.7_tip_1	0	0.475861
s21_750330_length_303_cvg_3.5_tip_1	0	0.475861
s21_750350_length_303_cvg_2.0_tip_1	0	0
t25_c68901_g1_i12	6.88228	0.639033
s21_750368_length_303_cvg_3.9_tip_1	0	0
s21_750428_length_303_cvg_2.1_tip_1	0	0.15862
s21_750454_length_303_cvg_6.0_tip_1	0	0
s21_750588_length_303_cvg_2.0_tip_1	0	0.15862
s21_750652_length_303_cvg_4.6_tip_1	0	0.15862
s21_750682_length_303_cvg_2.9_tip_1	0	0.475861
s21_750754_length_303_cvg_2.0_tip_1	0	0.317241
s21_750768_length_303_cvg_3.0_tip_1	0	0.15862
s21_750888_length_304_cvg_2.0_tip_1	0	0
s21_750910_length_304_cvg_4.3_tip_1	0	0
s21_750970_length_304_cvg_3.4_tip_1	0	0
s21_751060_length_304_cvg_2.8_tip_1	0	0.474296
s31_748992_length_1939_cvg_123.4_tip_0	6.85509	0.148722
s21_751118_length_304_cvg_3.7_tip_1	0	0.158099
s21_751150_length_304_cvg_74.8_tip_0	0	1.26479
s21_751260_length_304_cvg_2.3_tip_1	0	0.474296
s21_751264_length_304_cvg_5.9_tip_1	0	0.158099
s21_751278_length_304_cvg_2.0_tip_1	0	0
s21_751308_length_304_cvg_2.0_tip_1	0	0
s21_751344_length_304_cvg_3.2_tip_1	0	0
s21_751368_length_304_cvg_2.0_tip_1	0	0
s21_751454_length_304_cvg_8.9_tip_1	-0.456808	2.21338
s21_751470_length_304_cvg_2.0_tip_1	0	0.316197
s21_751494_length_304_cvg_3.0_tip_1	0	0.158099
s21_751502_length_304_cvg_2.3_tip_1	0	0
s21_751558_length_305_cvg_2.0_tip_1	0	0.472741
s21_751592_length_305_cvg_3.7_tip_1	0	0.472741
s21_751628_length_305_cvg_2.0_tip_1	0	0.315161
s21_751674_length_305_cvg_2.0_tip_1	0	0.15758
s21_751850_length_305_cvg_2.8_tip_1	0	0.15758
s21_751864_length_305_cvg_39.3_tip_1	0	0
